Sample Name,Sample Number,Instrument,Sample Amount,Time,Component,Adj Amt,Area
,,,,[min],Name,(ppb),[µV·s]
95-10397 1:50            ,6                        ,HP5890_#99_FREDDIE,99hi,1.0000 7.981,MeCl                 ,   1.7835,    75537.00
95-10397 1:50            ,6                        ,HP5890_#99_FREDDIE,99hi,1.000024.285,TetClE               ,   0.0000,        0.00
95-10397 1:50            ,6                        ,HP5890_#99_FREDDIE,99hi,1.000024.953,1CL4FLBZ             ,  44.0775,   705861.48
95-10397 1:50            ,6                        ,HP5890_#99_FREDDIE,99hi,1.000025.035,1112TCA              ,   0.0000,        0.00
95-10397 1:50            ,6                        ,HP5890_#99_FREDDIE,99hi,1.000025.117,ClBenz               ,   0.0000,        0.00
95-10397 1:50            ,6                        ,HP5890_#99_FREDDIE,99hi,1.000025.655,BrForm               ,   0.0000,        0.00
95-10397 1:50            ,6                        ,HP5890_#99_FREDDIE,99hi,1.000026.015,1122TCA              ,   2.3150,     6387.30
95-10397 1:50            ,6                        ,HP5890_#99_FREDDIE,99hi,1.000026.161,123TCPra             ,   1.3185,     4928.40
95-10397 1:50            ,6                        ,HP5890_#99_FREDDIE,99hi,1.000029.747,124TCBz              ,   0.8535,    10289.40
95-10397 1:50            ,6                        ,HP5890_#99_FREDDIE,99hi,1.000030.058,HxClBuDi (HCBD)      ,   0.8644,    11419.32
95-10397 1:50            ,6                        ,HP5890_#99_FREDDIE,99hi,1.000030.213,123TCBz              ,   1.2669,    12617.88
95-10397 1:50            ,6                        ,HP5890_#99_FREDDIE,99hi,1.0000,,  39.1983,   813949.02
95-24972 1:50            ,7                        ,HP5890_#99_FREDDIE,99hi,1.0000 7.981,MeCl                 ,   2.1274,    75537.00
95-24972 1:50            ,7                        ,HP5890_#99_FREDDIE,99hi,1.000024.285,TetClE               ,   0.0000,        0.00
95-24972 1:50            ,7                        ,HP5890_#99_FREDDIE,99hi,1.000024.953,1CL4FLBZ             ,   3.2011,   705861.48
95-24972 1:50            ,7                        ,HP5890_#99_FREDDIE,99hi,1.000025.035,1112TCA              ,   0.0000,        0.00
95-24972 1:50            ,7                        ,HP5890_#99_FREDDIE,99hi,1.000025.117,ClBenz               ,   0.0000,        0.00
95-24972 1:50            ,7                        ,HP5890_#99_FREDDIE,99hi,1.000025.655,BrForm               ,   0.2584,        0.00
95-24972 1:50            ,7                        ,HP5890_#99_FREDDIE,99hi,1.000026.015,1122TCA              ,   2.3150,     6387.30
95-24972 1:50            ,7                        ,HP5890_#99_FREDDIE,99hi,1.000026.161,123TCPra             ,   1.5484,     4928.40
95-24972 1:50            ,7                        ,HP5890_#99_FREDDIE,99hi,1.000029.747,124TCBz              ,   0.8254,    10289.40
95-24972 1:50            ,7                        ,HP5890_#99_FREDDIE,99hi,1.000030.058,HxClBuDi (HCBD)      ,   0.9515,    11419.32
95-24972 1:50            ,7                        ,HP5890_#99_FREDDIE,99hi,1.000030.213,123TCBz              ,   1.2147,    12617.88
95-24972 1:50            ,7                        ,HP5890_#99_FREDDIE,99hi,1.0000,,  39.1983,   813949.02
